%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1627477786394053026,2361,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786427210947,2362,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786460880985,2363,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786494099175,2364,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786527149074,2365,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786560577839,2366,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786593931152,2367,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786627068140,2368,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786661889916,2369,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786693882058,2370,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786727250913,2371,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786761888508,2372,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786793853067,2373,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786827216036,2374,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786860373464,2375,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786894152327,2376,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786927330698,2377,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786962392844,2378,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477786993958789,2379,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787027206109,2380,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787062249362,2381,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787093830525,2382,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787127132793,2383,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787160669407,2384,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787193882555,2385,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787227031898,2386,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787260894221,2387,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787293706223,2388,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787327547296,2389,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787360285111,2390,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787393786716,2391,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787427439522,2392,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787462497698,2393,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787493949045,2394,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787527023423,2395,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787561635383,2396,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787593909667,2397,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787627123962,2398,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787660461537,2399,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787693968839,2400,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787727278675,2401,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787761829038,2402,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787794059044,2403,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787827425246,2404,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787860567836,2405,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787893992843,2406,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787927080573,2407,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787960633746,2408,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477787993837451,2409,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788026995895,2410,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788060403500,2411,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788093924240,2412,0,,1.0,0.0,0.0,0.0,0.0,0.0
